# Quests/SideQuests - 14. davka
I’ll mark his usual location on your map. Thank you!	Označím ti na mapě, kde ho obvykle najdeš. Děkuji!
I’ll mark our camp on your map. Find us tomorrow.	Označím ti na mapě náš tábor. Najdi nás zítra.
I’ll mark the location on your map! Thank you, thank you ever so much!	Označím ti to místo na mapě! Děkuji, mockrát ti děkuji!
I’ll pay you for your time. How does 50 gold sound?	Zaplatím ti za tvůj čas. Jak zní 50 zlatých?
I’ll question them and see what I can find.	Vyslechnu je a uvidím, co zjistím.
I’ll see if I stumble across any others, but I'm not promising anything.	Uvidím, jestli na nějaké další narazím, ale nic neslibuji.
I’ll speak with you later.	Promluvíme si později.
I’ll support your cause. Once I free some of your people, I’ll bring them here.	Podpořím tvou věc. Až osvobodím část tvých lidí, přivedu je sem.
I’ll take a look for you. Just point me in the right direction.	Podívám se na to za tebe. Jen mě nasměruj.
I’ll take care of it, just tell me where to go.	Postarám se o to, jen mi řekni, kam mám jít.
I’ll take care of it.	Postarám se o to.
I’ll take care of them.	Postarám se o ně.
I’ll take that as a compliment. We’ll speak soon.	Beru to jako poklonu. Brzy si promluvíme.
I’ll take the cat.	Vezmu si tu kočku.
I’ll try to aim a little higher than my foot, thanks. And I appreciate the help.	Zkusím mířit trochu výš než na vlastní nohu, děkuji. A vážím si té pomoci.
I’ll try, but no promises. Some folks aren’t keen on guard duty.	Zkusím to, ale nic neslibuji. Někteří lidé o strážní službu nestojí.
I’ll uncover the truth.	Odhalím pravdu.
I’m a little busy at the moment.	Teď mám trochu napilno.
I’m a man of my word, here they are.	Jsem muž svého slova, tady jsou.
I’m a traveler from Whisterfield, and I was hoping to ask some questions…	Jsem pocestný z Whisterfieldu a doufal jsem, že bych se mohl na pár věcí zeptat…
I’m afraid I don’t have the time right now.	Obávám se, že teď nemám čas.
I’m afraid I’m tied up at the moment, but I’ll come back when I can.	Obávám se, že teď mám svázané ruce, ale vrátím se, až budu moci.
I’m all set for the time being, thanks.	Prozatím jsem zaopatřen, děkuji.
I’m always eager to earn some coin.	Vždycky si rád vydělám pár mincí.
I’m busy right now, I can’t help.	Teď mám práci, pomoct nemohu.
I’m busy right now, I’ll come back later.	Teď mám práci, vrátím se později.
I’m busy right now. Maybe later.	Teď mám práci. Snad později.
I’m busy with other things. I’m sorry, but good luck.	Mám jinou práci. Je mi líto, ale hodně štěstí.
I’m busy. Go bother someone else.	Mám práci. Jdi otravovat někoho jiného.
I’m fine for now, thanks.	Teď jsem v pořádku, děkuji.
I’m glad I could help.	Jsem rád, že jsem mohl pomoci.
I’m glad to hear it! Here’s the letter. Remember, we’re all counting on you.	To rád slyším! Tady je ten dopis. Pamatuj, všichni s tebou počítáme.
I’m glad we’re on the same page.	Jsem rád, že si rozumíme.
I’m going to find her and arrest her myself.	Najdu ji a zatknu ji vlastníma rukama.
I’m gonna take back my money from your corpse.	Vezmu si své peníze zpátky z tvé mrtvoly.
I’m good for the time being, thank you.	Prozatím jsem v pořádku, děkuji.
I’m happy for you.	Mám z tebe radost.
I’m havin’ nothing to do with this. You won’t get anything from me.	S tímhle nechci mít nic společného. Ode mě nic nedostaneš.
I’m here if you need to talk.	Jsem tu, kdybys potřeboval mluvit.
I’m here to help, I’ll talk to those folks.	Jsem tu, abych pomohl, promluvím s těmi lidmi.
