# Stavění, úkoly, zvířata, práce vesničanů, dovednosti, kodex a vlastnosti předmětů.
#
# Úkoly obsahují formátovací značky <item>...</> a <destination>...</> - musí
# zůstat přesně tak, jak jsou, jinak se text ve hře rozbije.
#
# Ustálené pojmy zavedené v této dávce:
#   renown    = věhlas       trust      = důvěra
#   prosperity= prosperita   loyalty    = věrnost
#   wrath     = hněv         tier       = úroveň

# ========================= STAVĚNÍ A UMÍSŤOVÁNÍ ==============================
PlayerBuildingScreen	BuildingComponentNoResources	Nemáš potřebné suroviny.
PlayerBuildingScreen	BuildingComponentConstructionPointsRequired	Nedostatek stavebních bodů.
PlayerBuildingScreen	BuildingComponentNotEnoughRenown	Nedostatek věhlasu
PlayerBuildingScreen	BuildingComponentTrustLevelRequired	Nemáš dost důvěry, abys tohle postavil.
PlayerBuildingScreen	BuildingComponentVillageLiberationRequired	Nejdřív musíš ves osvobodit.
PlayerBuildingScreen	BuildingComponentHostileRegion	V nepřátelském kraji se stavět nedá
PlayerBuildingScreen	BuildingComponentImpossibleToBuildInThisVillage	V této vsi se stavět nedá.
PlayerBuildingScreen	BuildingComponentConstructionInProgress	Než začneš novou stavbu, dokonči tu rozestavěnou ve vsi.
PlayerBuildingScreen	BuildingComponentMaxVillageBuildingsLimitReached	Víc staveb tohoto druhu už v této vsi postavit nemůžeš.
PlayerBuildingScreen	BelltowerAlreadyBuilt	V neutrální vsi můžeš postavit jen jednu zvonici.
PlayerBuildingScreen	TownHallAlreadyBuilt	Radnice už stojí. Další postavit nemůžeš.

PlayerBuildingScreen	BuildingComponentBelowGround	Pod zemí se stavět nedá
PlayerBuildingScreen	BuildingComponentGroundNotAllowed	Na zem umístit nelze
PlayerBuildingScreen	BuildingComponentGroundTooFar	Země je příliš daleko
PlayerBuildingScreen	BuildingComponentPlatformNotAllowed	Na tuhle plošinu umístit nelze
PlayerBuildingScreen	BuildingComponentInvalidParent	Plošina není vhodná.
PlayerBuildingScreen	BuildingComponentInvalidAngle	Sklon umístění je příliš prudký.
PlayerBuildingScreen	BuildingComponentSmartPlacementSlopeTooSteep	Terén v místě umístění je příliš strmý.
PlayerBuildingScreen	BuildingComponentOutsideNavmesh	Mimo přístupnou oblast
PlayerBuildingScreen	BuildingComponentOutsideRadius	Jsi příliš daleko, abys to tam umístil.
PlayerBuildingScreen	BuildingComponentFoliageIsBlocking	{FoliageName} brání umístění na tomto místě.
PlayerBuildingScreen	BuildingComponentNoToolToRemoveFoliage	Nemáš vybádané nástroje potřebné úrovně, abys odstranil {FoliageName}.
PlayerBuildingScreen	BuildingComponentMineableFoliage	V okolí nejsou žádná ložiska rudy

PlayerBuildingScreen	BuildingComponentTownRequired	Musí stát uvnitř zóny města.
PlayerBuildingScreen	BuildingComponentOutsideTownZone	Musí stát mimo zónu města.
PlayerBuildingScreen	BuildingComponentNeutralTownRequired	Musí stát uvnitř zóny neutrální vsi.
PlayerBuildingScreen	BuildingComponentBlockedByInfluenceZone	Musí stát o {Distance} dál od neutrální osady.
PlayerBuildingScreen	BuildingComponentFarOutsideOfVillageRequiredDistance	Musí stát o {Distance} dál od neutrální vsi.
PlayerBuildingScreen	BuildingComponentNearTheRoad	Musí být napojeno na hlavní cestu.
PlayerBuildingScreen	BuildingComponentOceanOrRiverRequired	Musí být napojeno na moře.
PlayerBuildingScreen	BuildingComponentWaterShoreRequired	Musí stát podél břehu.

PlayerBuildingScreen	ConfirmPlanText	Schválit plán
PlayerBuildingScreen	RemovePlanText	Odebrat plán
PlayerBuildingScreen	DisassembleText	Rozebrat
PlayerBuildingScreen	RelocateText	Přemístit
PlayerBuildingScreen	RenameText	Přejmenovat
PlayerBuildingScreen	NameTownHallDescription	Pojmenuj osadu
PlayerBuildingScreen	CantDisassembleCartText	Povoz se právě používá
PlayerBuildingScreen	CantDisassembleManned	Používá jiný hráč
PlayerBuildingScreen	CantRelocateManned	Používá jiný hráč
PlayerBuildingScreen	ImprovementRelocationNotInSameTown	Vylepšení vsi nelze přesouvat mezi městy.

# ================================ ÚKOLY ======================================
Quests	BringItems	Přines <item>{Amount} {ItemName}</>
Quests	BringItemsWithInventory	Přines <item>{Amount} {ItemName}</> (v batohu: {NumItemsInInventory})
Quests	BringItemsWithMinimumWeight	Přines <item>{Amount} {ItemName} o váze aspoň {Weight}</>
Quests	BringItemsWithInventoryWithMinimumWeight	Přines <item>{Amount} {ItemName} o váze aspoň {Weight}.</> (v batohu: {NumItemsInInventory})
Quests	BringItemsToNpc	Odnes <item>{Amount} {ItemName}</> k <destination>{NpcName}</>
Quests	BringItemsToNpcWithInventory	Odnes <item>{Amount} {ItemName}</> k <destination>{NpcName}</> (v batohu: {NumItemsInInventory})
Quests	BringItemsToNpcWithMinimumWeight	Odnes <item>{Amount} {ItemName} o váze aspoň {Weight}</> k <destination>{NpcName}</>
Quests	BringItemsToNpcWithInventoryWithMinimumWeight	Odnes <item>{Amount} {ItemName} o váze aspoň {Weight}</> k <destination>{NpcName}.</> (v batohu: {NumItemsInInventory})

Quests	BringQuestDescription	Přines {NumUnitsOfResourceName}
# BringQuestDescriptionItemDelimiter zůstává nepřeložený: originál je ", " včetně
# koncové mezery, kterou by TSV ztratilo, a v češtině je stejný.
Quests	BringQuestItemDescription	{Num} jednotek suroviny {ResourceName}
Quests	BringQuestItemDescriptionWithMinimumWeight	{Num} jednotek suroviny {ResourceName} o váze aspoň {Weight}
Quests	BringQuestObtainTask	Přines {Num} jednotek předmětu {ItemName}
Quests	BringQuestObtainTaskWithMinimumWeight	Přines {Num} jednotek předmětu {ItemName}, každou o váze aspoň {weight}
Quests	BringQuestTitle_ToNpc	Doruč předměty – {QuestGiverName}
Quests	BringQuestTitle_ToNpcInLocation	Doruč předměty – {QuestGiverName}, {SettlementName}
Quests	ReturnToGiver	Vrať se k {QuestGiverFullName}
Quests	CollectRewardTask	Vyzvedni odměnu na vývěsce

Quests	DifficultyEasy	Lehká
Quests	DifficultyMedium	Střední
Quests	DifficultyHard	Těžká

Quests	FindActorQuestTitle	Prozkoumej a najdi
Quests	HuntAnimalsTitle	Lov zvěře
Quests	KillRupusDescription	Je třeba ulovit {Num} {AnimalName}
Quests	LootRuinsTitle	Prohledej zříceniny
Quests	LootRuinsTask	Prohledej {Num} {Structures}
Quests	LootRuinsDescription	Prohledej {Num} zřícenin ve světě a najdi suroviny i dávné vědění
Quests	ReachRealmPopulationDescription	Měj najato {Num} lidí
Quests	VillageTrustGainQuest	Získej ve vsi {VillageName} úroveň důvěry {Stranger_Protector_or_Leader}

Quests	CoinsRewardText	{Num} mincí
Quests	ItemRewardText	{Quantity} {ItemName}
Quests	ItemRangeRewardText	{MinQuantity} – {MaxQuantity} {ItemName}
Quests	RenownRewardText	{NumericRenownIncrease} věhlasu
Quests	LoyaltyRewardText	{NumericLoyaltyIncrease} věrnosti
Quests	WrathRewardText	{NumericWrathIncrease} hněvu
Quests	TrustRewardText	{NumericTrustIncrease} důvěry pro ves {SettlementName}
Quests	ProsperityRewardText	{NumericProsperityIncrease} prosperity pro ves {SettlementName}
Quests	ConstructionPointsRewardText	{NumericPointsIncrease} stavebních bodů pro ves {SettlementName}
Quests	WarriorRewardText	{Num} bodů schopností válečníka
Quests	ExplorerRewardText	{Num} bodů schopností průzkumníka
Quests	RogueRewardText	{Num} bodů schopností šibala

# =============================== ZVÍŘATA =====================================
